ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante,resultado,resultado_ajustado,ano,mes
2013,2013-03-11,32,Estádio Jornalista Mário Filho,Leandro Pedro Vuaden,32063.0,,Flamengo,Fluminense,Jayme de Almeida,Vanderlei Luxemburgo,13.0,15.0,9650000.0,22150000.0,24.9,28.1,1,0,0.0,0.0,,,,,,,,,,,,,,,Casa,Casa,2013,3
2013,2013-10-11,33,Estádio Jornalista Mário Filho,Jailson Macedo Freitas,14798.0,,Flamengo,Goiás EC,Jayme de Almeida,Enderson Moreira,12.0,5.0,9450000.0,4350000.0,25.6,27.2,1,1,0.0,0.0,,,,,,,,,,,,,,,Empate,Casa,2013,10
2013,2013-06-06,4,Estádio Joaquim Henrique Nogueira,Jailson Macedo Freitas,15082.0,,Cruzeiro,Corinthians,Marcelo Oliveira,Tite,7.0,5.0,19850000.0,34000000.0,28.5,29.0,1,0,0.0,0.0,,,,,,,,,,,,,,,Casa,Casa,2013,6
2013,2013-11-08,13,Estádio Governador Magalhães Pinto,Paulo Henrique de Godoy Bezerra,27533.0,,Cruzeiro,Santos FC,Marcelo Oliveira,Claudinei Oliveira,1.0,9.0,17550000.0,22200000.0,25.4,27.0,0,0,0.0,0.0,,,,,,,,,,,,,,,Empate,Casa,2013,11
2013,2013-08-09,19,Estádio Governador Magalhães Pinto,Anderson Daronco,35628.0,,Cruzeiro,Flamengo,Marcelo Oliveira,Mano Menezes,1.0,16.0,23600000.0,13250000.0,27.3,26.1,1,0,0.0,0.0,,,,,,,,,,,,,,,Casa,Casa,2013,8
2013,2013-10-10,27,Estádio Governador Magalhães Pinto,Jailson Macedo Freitas,40743.0,57483.0,Cruzeiro,São Paulo,Marcelo Oliveira,Muricy Ramalho,1.0,16.0,17600000.0,21050000.0,27.4,24.2,0,2,0.0,0.0,,,,,,,,,,,,,,,Fora,Fora,2013,10
2013,2013-01-12,37,Estádio Governador Magalhães Pinto,André Luiz de Freitas Castro,48112.0,57483.0,Cruzeiro,EC Bahia,Marcelo Oliveira,Cristóvão Borges,1.0,12.0,21600000.0,5500000.0,27.8,26.4,1,2,0.0,1.0,,,,,,,,,,,,,,,Fora,Fora,2013,1
2013,2013-06-07,6,Estádio Durival Britto e Silva,Wilton Sampaio,7531.0,20083.0,Atlético-PR,Grêmio,Ricardo Drubscky,Renato Gaúcho,13.0,7.0,4550000.0,20150000.0,25.3,26.4,1,1,0.0,0.0,,,,,,,,,,,,,,,Empate,Casa,2013,6
2013,2013-11-08,13,Estádio Major Antônio Couto Pereira,Leandro Pedro Vuaden,19140.0,,Coritiba FC,Vasco da Gama,Marquinhos Santos,Dorival Júnior,3.0,12.0,6900000.0,7000000.0,28.2,27.3,0,1,0.0,1.0,,,,,,,,,,,,,,,Fora,Fora,2013,11
2013,2013-01-09,17,Estádio Major Antônio Couto Pereira,Pablo dos Santos Alves,18546.0,,Coritiba FC,Internacional,Marquinhos Santos,Dunga,6.0,8.0,6800000.0,31350000.0,28.1,28.8,0,0,0.0,0.0,,,,,,,,,,,,,,,Empate,Casa,2013,1
